104_merged_unfilt.bam	71.04
114_merged_unfilt.bam	67.53
131_merged_unfilt.bam	68.57
135_merged_unfilt.bam	66.95
158_merged_unfilt.bam	73.42
17_merged_unfilt.bam	70.93
182_merged_unfilt.bam	70.45
187_merged_unfilt.bam	65.42
203_merged_unfilt.bam	69.01
240_merged_unfilt.bam	67.37
257_merged_unfilt.bam	69.73
269_merged_unfilt.bam	69.52
274_merged_unfilt.bam	68.77
279_merged_unfilt.bam	64.66
316_merged_unfilt.bam	66.28
345_merged_unfilt.bam	68.85
349_merged_unfilt.bam	68.25
356_merged_unfilt.bam	68.60
373_merged_unfilt.bam	68.24
412_merged_unfilt.bam	69.93
42_merged_unfilt.bam	68.80
468_merged_unfilt.bam	69.41
487_merged_unfilt.bam	68.79
520_merged_unfilt.bam	69.23
588_merged_unfilt.bam	67.94
717_merged_unfilt.bam	68.56
721_merged_unfilt.bam	70.24
731_merged_unfilt.bam	69.81
749_merged_unfilt.bam	68.77
759_merged_unfilt.bam	69.94
77_merged_unfilt.bam	68.29
832_merged_unfilt.bam	69.66
849_merged_unfilt.bam	70.76
859_merged_unfilt.bam	66.68
877_merged_unfilt.bam	68.78
879_merged_unfilt.bam	69.45
88_merged_unfilt.bam	69.74
